addr:TW:dataset,source,addr:country,addr:province,addr:city,addr:district,addr:village,addr:neighborhood,addr:street,addr:housenumber,addr:full,description,x,y
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,崙東村,18,東安路,89之7,雲林縣口湖鄉崙東村18鄰東安路89之7號,農業設施不得設籍,165605.05,2613272.64
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,崙東村,17,民生路,2之81,雲林縣口湖鄉崙東村17鄰民生路2之81號,農業設施不得設籍,165221.78,2612565.14
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,崙東村,17,民生路,2之52,雲林縣口湖鄉崙東村17鄰民生路2之52號,雞舍不得設籍使用,165889.23,2612570.02
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,梧北村,11,光明路,2之91,雲林縣口湖鄉梧北村11鄰光明路2之91號,溫室不得設籍,168435.31,2606381.29
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,梧北村,11,光明路,2之99,雲林縣口湖鄉梧北村11鄰光明路2之99號,溫室不得設籍,168233.04,2606594.26
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,梧北村,11,光明路,2之80,雲林縣口湖鄉梧北村11鄰光明路2之80號,農業設施不得設籍,168243.17,2605950.99
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,梧南村,4,光明路,161之7,雲林縣口湖鄉梧南村4鄰光明路161之7號,農業設施不得設籍,166482.95,2605109.43
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,梧南村,13,文光路,257之28,雲林縣口湖鄉梧南村13鄰文光路257之28號,溫室不得設籍,167582.45,2604218.95
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,梧南村,16,興農路,101之37,雲林縣口湖鄉梧南村16鄰興農路101之37號,農業設施不得設籍,166420.63,2604414.58
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,水井村,14,水井路,臨18,雲林縣口湖鄉水井村14鄰水井路臨18號,溫室不得設籍,167328.57,2602951.62
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,港東村,12,北興街,260之7,雲林縣口湖鄉港東村12鄰北興街260之7號,農業設施不得設籍,163985.72,2608543.2
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,港東村,12,北興街,399之62,雲林縣口湖鄉港東村12鄰北興街399之62號,農業設施不得設籍,163892.14,2609662.88
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,港東村,12,民主路,38之1,雲林縣口湖鄉港東村12鄰民主路38之1號,未設置管理室,164028.57,2608062.53
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,湖東村,7,口湖路,46之1,雲林縣口湖鄉湖東村7鄰口湖路46之1號,倉庫不得設籍,167027.33,2609333.5
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,湖東村,6,文明路,16,雲林縣口湖鄉湖東村6鄰文明路16號,雲林縣口湖鄉戶政事務所地址,166739.886,2609227.815
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,蚵寮村,8,蚵寮路,510之2,雲林縣口湖鄉蚵寮村8鄰蚵寮路510之2號,農業設施不得設籍,165463.36,2607499.71
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,蚵寮村,8,蚵寮路,516之1,雲林縣口湖鄉蚵寮村8鄰蚵寮路516之1號,溫室不得設籍,165314.39,2607693.07
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,𣐤埔村,12,瓊埔路,89,雲林縣水林鄉𣐤埔村12鄰瓊埔路89號,順天宮,169288.27,2601449.58
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,𣐤埔村,6,瓊埔路,140之8,雲林縣水林鄉𣐤埔村6鄰瓊埔路140之8號,農業設施不得設籍,169048.58,2601647.29
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,7,大溝路,119之5,雲林縣水林鄉大溝村7鄰大溝路119之5號,農業設施不得設籍,169085.7,2607709.56
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,1,大溝路,150,雲林縣水林鄉大溝村1鄰大溝路150號,農業設施不得設籍,168566.73,2608548.04
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,1,大溝路,151,雲林縣水林鄉大溝村1鄰大溝路151號,農業設施不得設籍,168628.98,2608571.65
166201,雲林縣政府,TW,台灣省,雲林縣,水林鄉,大溝村,1,大溝路,171之36,雲林縣水林鄉大溝村1鄰大溝路171之36號,農業設施不得設籍,168658.41,2608258.35
