source,addr:TW:dataset,addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:full,x,y
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,8,3,新竹市東區光明里8鄰光復路二段清大西院33號八樓之3,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,10,新竹市東區光明里8鄰光復路二段清大西院33號二樓之10,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,11,新竹市東區光明里8鄰光復路二段清大西院33號二樓之11,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,10,新竹市東區光明里8鄰光復路二段清大西院33號三樓之10,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,11,新竹市東區光明里8鄰光復路二段清大西院33號三樓之11,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33之1號,,,新竹市東區光明里8鄰光復路二段清大西院33之1號,249058.22,2743357.73
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33之2號,,,新竹市東區光明里8鄰光復路二段清大西院33之2號,249060.6,2743357.73
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33之3號,,,新竹市東區光明里8鄰光復路二段清大西院33之3號,249063.52,2743357.97
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33之5號,,,新竹市東區光明里8鄰光復路二段清大西院33之5號,249059.28,2743355.35
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33之6號,,,新竹市東區光明里8鄰光復路二段清大西院33之6號,249065.67,2743361.97
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33之7號,,,新竹市東區光明里8鄰光復路二段清大西院33之7號,249061.34,2743362.19
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33之8號,,,新竹市東區光明里8鄰光復路二段清大西院33之8號,249057.21,2743362.08
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33之9號,,,新竹市東區光明里8鄰光復路二段清大西院33之9號,249052.01,2743361.97
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,34號,,,新竹市東區光明里8鄰光復路二段清大西院34號,249125.69,2743395.3
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,34號,,,新竹市東區光明里7鄰光復路二段清大東院34號,250036.24,2742811.6
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,35號,,,新竹市東區光明里7鄰光復路二段清大東院35號,250070.43,2742886.31
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,36號,,,新竹市東區光明里7鄰光復路二段清大東院36號,250083.04,2742884.31
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,37號,,,新竹市東區光明里7鄰光復路二段清大東院37號,250067.95,2742862.16
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,38號,,,新竹市東區光明里7鄰光復路二段清大東院38號,250082.02,2742862.16
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,39號,,,新竹市東區光明里7鄰光復路二段清大東院39號,250095.48,2742863.66
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,40號,,,新竹市東區光明里7鄰光復路二段清大東院40號,250105.95,2742867.85
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,41號,,,新竹市東區光明里7鄰光復路二段清大東院41號,250064.06,2742834.94
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,41號,,,新竹市東區光明里8鄰光復路二段清大西院41號,249058.07,2743336.13
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,41號,3,,新竹市東區光明里8鄰光復路二段清大西院41號三樓,249058.07,2743336.13
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,41號,4,,新竹市東區光明里8鄰光復路二段清大西院41號四樓,250064.06,2742834.94
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,41號,5,,新竹市東區光明里8鄰光復路二段清大西院41號五樓,249058.07,2743336.13
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,41之3號,,,新竹市東區光明里8鄰光復路二段清大西院41之3號,249058.22,2743330.48
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,42號,,,新竹市東區光明里7鄰光復路二段清大東院42號,250069.45,2742831.05
