addr:TW:dataset,source,addr:couontry,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x_3826,y_3826
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,12,2Ｃ,新北市新莊區光華里027鄰民安西路384號十二樓之2Ｃ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,12,2Ｂ,新北市新莊區光華里027鄰民安西路384號十二樓之2Ｂ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,12,1Ａ,新北市新莊區光華里027鄰民安西路384號十二樓之1Ａ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,12,1Ｂ,新北市新莊區光華里027鄰民安西路384號十二樓之1Ｂ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,12,2Ａ,新北市新莊區光華里027鄰民安西路384號十二樓之2Ａ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,11,1Ａ,新北市新莊區光華里027鄰民安西路384號十一樓之1Ａ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,金山區,美田里,021,中山路,Ａ區,395號,11,6,新北市金山區美田里021鄰中山路395號Ａ區十一樓之6,313797.382454,2790844.1992000
168887,新北市政府,TW,新北市,金山區,美田里,021,中山路,Ｂ區,395號,7,3,新北市金山區美田里021鄰中山路395號Ｂ區七樓之3,313788.911430,2790849.6497300
168887,新北市政府,TW,新北市,金山區,美田里,021,中山路,Ａ區,395號,9,1,新北市金山區美田里021鄰中山路395號Ａ區九樓之1,313797.382454,2790844.1992000
168887,新北市政府,TW,新北市,金山區,美田里,021,中山路,Ａ區,395號,6,5,新北市金山區美田里021鄰中山路395號Ａ區六樓之5,313797.382454,2790844.1992000
168887,新北市政府,TW,新北市,金山區,五湖里,002,中山路,87號,3,Ａ,新北市金山區五湖里002鄰中山路87號三樓Ａ,314503.562288,2790148.2020100
168887,新北市政府,TW,新北市,金山區,五湖里,002,中山路,87號,3,Ｂ,新北市金山區五湖里002鄰中山路87號三樓Ｂ,314499.297907,2790152.2023900
168887,新北市政府,TW,新北市,金山區,五湖里,002,中山路,87號,4,Ａ,新北市金山區五湖里002鄰中山路87號四樓Ａ,314503.562288,2790148.2020100
168887,新北市政府,TW,新北市,金山區,五湖里,002,中山路,87號,4,Ｂ,新北市金山區五湖里002鄰中山路87號四樓Ｂ,314499.297907,2790152.2023900
168887,新北市政府,TW,新北市,萬里區,萬里里,034,瑪鋉路,340號,3,Ａ,新北市萬里區萬里里034鄰瑪鋉路340號Ａ三樓,319329.323825,2786238.8445800
168887,新北市政府,TW,新北市,萬里區,萬里里,034,瑪鋉路,340號,2,Ａ,新北市萬里區萬里里034鄰瑪鋉路340號Ａ二樓,319329.323825,2786238.8445800
168887,新北市政府,TW,新北市,萬里區,萬里里,034,瑪鋉路,340號,2,Ｂ,新北市萬里區萬里里034鄰瑪鋉路340號Ｂ二樓,319329.323825,2786238.8445800
168887,新北市政府,TW,新北市,萬里區,萬里里,034,瑪鋉路,340號,4,Ｂ,新北市萬里區萬里里034鄰瑪鋉路340號Ｂ四樓,319329.323825,2786238.8445800
168887,新北市政府,TW,新北市,萬里區,萬里里,034,瑪鋉路,340號,4,Ａ,新北市萬里區萬里里034鄰瑪鋉路340號Ａ四樓,319329.323825,2786238.8445800
168887,新北市政府,TW,新北市,萬里區,萬里里,034,瑪鋉路,340號,3,Ｂ,新北市萬里區萬里里034鄰瑪鋉路340號Ｂ三樓,319329.323825,2786238.8445800
168887,新北市政府,TW,新北市,萬里區,萬里里,003,瑪鋉路,24號,2,Ａ,新北市萬里區萬里里003鄰瑪鋉路24號Ａ二樓,319452.768168,2785569.8700000
168887,新北市政府,TW,新北市,萬里區,萬里里,003,瑪鋉路,24號,,Ａ,新北市萬里區萬里里003鄰瑪鋉路24號Ａ,319452.768168,2785569.8700000
168887,新北市政府,TW,新北市,萬里區,萬里里,003,瑪鋉路,24號,,Ｂ,新北市萬里區萬里里003鄰瑪鋉路24號Ｂ,319452.768168,2785569.8700000
