addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x,y,addr:TW:dataset,source
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路6巷,7號,,,澎湖縣馬公市中央里7鄰中山路6巷7號,307586.011,2606838.646,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,8號,,,澎湖縣馬公市中央里6鄰中山路6巷8號,307601.386,2606827.717,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,8號,2,,澎湖縣馬公市中央里6鄰中山路6巷8號二樓,307601.386,2606827.717,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,8號,3,,澎湖縣馬公市中央里6鄰中山路6巷8號三樓,307601.386,2606827.717,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,8號,4,,澎湖縣馬公市中央里6鄰中山路6巷8號四樓,307601.386,2606827.717,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,8號,5,,澎湖縣馬公市中央里6鄰中山路6巷8號五樓,307601.386,2606827.717,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路6巷,9號,,,澎湖縣馬公市中央里7鄰中山路6巷9號,307592.987,2606843.332,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路6巷,11號,,,澎湖縣馬公市中央里7鄰中山路6巷11號,307596.536,2606858.946,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,12號,,,澎湖縣馬公市中央里6鄰中山路6巷12號,307600.914,2606832.888,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,14號,,,澎湖縣馬公市中央里6鄰中山路6巷14號,307600.049,2606837.396,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路6巷,16號,,,澎湖縣馬公市中央里7鄰中山路6巷16號,307600.027,2606841.834,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路6巷,18號,,,澎湖縣馬公市中央里7鄰中山路6巷18號,307600.754,2606846.607,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路6巷,20號,,,澎湖縣馬公市中央里7鄰中山路6巷20號,307600.952,2606851.371,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路6巷,22號,,,澎湖縣馬公市中央里7鄰中山路6巷22號,307601.808,2606856.409,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路8巷,1號,,,澎湖縣馬公市中央里6鄰中山路8巷1號,307572.36,2606815.541,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路8巷,2號,,,澎湖縣馬公市中央里6鄰中山路8巷2號,307574.378,2606819.218,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路8巷,4號,,,澎湖縣馬公市中央里7鄰中山路8巷4號,307579.139,2606839.972,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路8巷,5號,,,澎湖縣馬公市中央里7鄰中山路8巷5號,307579.617,2606845.087,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路8巷,6號,,,澎湖縣馬公市中央里7鄰中山路8巷6號,307579.744,2606847.277,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路8巷,7號,,,澎湖縣馬公市中央里7鄰中山路8巷7號,307579.744,2606852.061,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路8巷,8號,,,澎湖縣馬公市中央里7鄰中山路8巷8號,307579.893,2606855.65,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路8巷,9號,,,澎湖縣馬公市中央里7鄰中山路8巷9號,307580.491,2606859.387,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路8巷,10號,,,澎湖縣馬公市中央里7鄰中山路8巷10號,307580.673,2606862.597,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路8巷,11號,,,澎湖縣馬公市中央里7鄰中山路8巷11號,307579.486,2606866.156,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路,30號,,,澎湖縣馬公市中央里5鄰中山路30號,307676.563,2606811.928,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路,32號,,,澎湖縣馬公市中央里5鄰中山路32號,307673.763,2606812.551,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路,34號,,,澎湖縣馬公市中央里5鄰中山路34號,307669.253,2606812.551,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路,36號,,,澎湖縣馬公市中央里5鄰中山路36號,307666.127,2606809.002,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路,38號,,,澎湖縣馬公市中央里5鄰中山路38號,307665.011,2606813.088,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路,40號,,,澎湖縣馬公市中央里5鄰中山路40號,307656.871,2606808.742,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路,42號,,,澎湖縣馬公市中央里5鄰中山路42號,307653.673,2606810.35,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,44號,,,澎湖縣馬公市中央里6鄰中山路44號,307646.235,2606811.462,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,11,中山路,44號,,,澎湖縣馬公市中央里11鄰中山路44號,307646.235,2606811.462,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路,46號,,,澎湖縣馬公市中央里6鄰中山路46號,307639.804,2606820.669,170852,澎湖縣政府
